name,category,era,museum,level,accession_year,material,image_urls,detail_url,source
铜圆镜,铜器,唐,山东省菏泽市郓城县数字博物馆,未定级,1999,单一质地/无机质/铜,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02640郓城传递红色文化博物馆BFEBFBFF000306D420180614095555049_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02640郓城传递红色文化博物馆BFEBFBFF000306D420180614095557279_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02640郓城传递红色文化博物馆BFEBFBFF000306D420180614095559379_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02640郓城传递红色文化博物馆BFEBFBFF000306D420180614095603169_wm.jpg,https://www.museumschina.cn/collection/details?id=479e619ded6211e895aa6c92bf9be231,博物中国
珐琅彩水烟袋,铜器,清,山东省菏泽市郓城县数字博物馆,未定级,1999,单一质地/无机质/铜,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02607郓城传递红色文化博物馆BFEBFBFF000306D420180614092325665_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02607郓城传递红色文化博物馆BFEBFBFF000306D420180614092327745_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02607郓城传递红色文化博物馆BFEBFBFF000306D420180614092329775_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02607郓城传递红色文化博物馆BFEBFBFF000306D420180614092331885_wm.jpg,https://www.museumschina.cn/collection/details?id=479e5d3eed6211e895aa6c92bf9be231,博物中国
五铢铜钱,钱币,汉,山东省菏泽市郓城县数字博物馆,未定级,2011,单一质地/无机质/铜,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB15018郓城传递红色文化博物馆BFEBFBFF000306D420180711095845137_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB15018郓城传递红色文化博物馆BFEBFBFF000306D420180711095847340_wm.jpg,https://www.museumschina.cn/collection/details?id=479e65bded6211e895aa6c92bf9be231,博物中国
瓷壶,瓷器,明,山东省菏泽市郓城县数字博物馆,未定级,1999,单一质地/无机质/瓷,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02242郓城传递红色文化博物馆BFEBFBFF000306D420180404125224388_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02242郓城传递红色文化博物馆BFEBFBFF000306D420180404125237280_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02242郓城传递红色文化博物馆BFEBFBFF000306D420180404125249613_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02242郓城传递红色文化博物馆BFEBFBFF000306D420180404125309966_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02242郓城传递红色文化博物馆BFEBFBFF000306D420180404125321587_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02242郓城传递红色文化博物馆BFEBFBFF000306D420180404125337150_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02242郓城传递红色文化博物馆BFEBFBFF000306D420180404125352565_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/20181121145639/YHB02242郓城传递红色文化博物馆BFEBFBFF000306D420180404125405511_wm.jpg,https://www.museumschina.cn/collection/details?id=479e5325ed6211e895aa6c92bf9be231,博物中国
白地赭彩人物花鸟纹高足瓷罐,瓷器,元,菏泽市博物馆,二级,1991,单一质地/无机质/瓷,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000002/3717022180000580000002-A-0006_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000002/3717022180000580000002-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000002/3717022180000580000002-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000002/3717022180000580000002-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000002/3717022180000580000002-F-0001_wm.jpg,https://www.museumschina.cn/collection/details?id=290fff0b02cc4fa5b002f82248c84d2a,博物中国
褐釉鸡首瓷壶,瓷器,东晋,菏泽市博物馆,二级,1998,单一质地/无机质/瓷,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-A-1001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-A-1002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-A-1003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-A-1004_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-A-1005_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-A-1006_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000006/3717022180000580000006-F-0001_wm.jpg,https://www.museumschina.cn/collection/details?id=0227c56ff0b24dd2b895439456c6e73f,博物中国
田如桧山村夜雨折扇面,书法、绘画,清,菏泽市博物馆,二级,1991,单一质地/有机质/纸,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000027/3717022180000580000027-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000027/3717022180000580000027-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000027/3717022180000580000027-E-0002_wm.jpg,https://www.museumschina.cn/collection/details?id=043be7d516d94aa2ab2e5b32ed9eedae,博物中国
草叶纹高足瓷罐,瓷器,元,菏泽市博物馆,二级,1991,单一质地/无机质/瓷,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000003/3717022180000580000003-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000003/3717022180000580000003-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000003/3717022180000580000003-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000003/3717022180000580000003-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000003/3717022180000580000003-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000003/3717022180000580000003-E-0002_wm.jpg,https://www.museumschina.cn/collection/details?id=2c9b3e4eabff466f8e85c2b80e73de01,博物中国
杨泰基山君杏林纸本图轴,书法、绘画,清,菏泽市博物馆,二级,1991,单一质地/有机质/纸,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000030/3717022180000580000030-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000030/3717022180000580000030-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000030/3717022180000580000030-E-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000030/3717022180000580000030-E-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000030/3717022180000580000030-E-0004_wm.jpg,https://www.museumschina.cn/collection/details?id=20e611d85d294a409abe98768ea5e888,博物中国
田如桧采芝图折扇面,书法、绘画,清,菏泽市博物馆,二级,1991,单一质地/有机质/纸,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000029/3717022180000580000029-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000029/3717022180000580000029-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000029/3717022180000580000029-E-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000029/3717022180000580000029-E-0003_wm.jpg,https://www.museumschina.cn/collection/details?id=0559d4da7fe9415db7a2133fdd391b81,博物中国
